metric,value
customers,64000.0
max_absolute_randomization_smd,0.008630731202833338
holm_significant_effects_out_of_6,6.0
mens_email_visit_effect,0.07658956365153125
mens_email_conversion_effect,0.006805006519615695
mens_email_spend_effect,0.7698271558945367
womens_email_visit_effect,0.045233106587052985
womens_email_conversion_effect,0.003111057511085258
womens_email_spend_effect,0.4244122159365966
final_test_top30_visit_lift,0.08292841735884637
final_test_bottom70_visit_lift,0.03761333641868439
final_test_top_minus_bottom_visit,0.045315080940161984
final_test_visit_difference_ci_low,0.015009572546823818
final_test_visit_difference_ci_high,0.07518450309459122
probability_top30_visit_exceeds_bottom70,0.999
final_test_top_minus_bottom_spend,-0.4684988956997632
final_test_spend_difference_ci_low,-1.4552486823889363
final_test_spend_difference_ci_high,0.454002480931768
probability_top30_spend_exceeds_bottom70,0.1724
