arm_a,arm_b,variable,smd,abs_smd
Mens E-Mail,No E-Mail,recency,0.006831532454259612,0.006831532454259612
Mens E-Mail,No E-Mail,history,0.00761286832154267,0.00761286832154267
Mens E-Mail,No E-Mail,mens,-0.004582325637488713,0.004582325637488713
Mens E-Mail,No E-Mail,womens,0.007588929691886018,0.007588929691886018
Mens E-Mail,No E-Mail,newbie,-0.0008918953696535858,0.0008918953696535858
Mens E-Mail,Womens E-Mail,recency,0.0016491266166754827,0.0016491266166754827
Mens E-Mail,Womens E-Mail,history,0.0011607131531368453,0.0011607131531368453
Mens E-Mail,Womens E-Mail,mens,0.004048365969302603,0.004048365969302603
Mens E-Mail,Womens E-Mail,womens,0.0026425916051716594,0.0026425916051716594
Mens E-Mail,Womens E-Mail,newbie,-0.0034485982907790816,0.0034485982907790816
No E-Mail,Womens E-Mail,recency,-0.005180013205688764,0.005180013205688764
No E-Mail,Womens E-Mail,history,-0.006510722458553704,0.006510722458553704
No E-Mail,Womens E-Mail,mens,0.008630731202833338,0.008630731202833338
No E-Mail,Womens E-Mail,womens,-0.004946313992581982,0.004946313992581982
No E-Mail,Womens E-Mail,newbie,-0.0025567009140795766,0.0025567009140795766
